Modelo,Accuracy,Precision,Recall,F1-Score,CV F1-Score (mean),CV F1-Score (std)
Random Forest,0.8421052631578947,0.22175379426644182,0.8511326860841424,0.35183946488294315,0.3508374121194765,0.007832490185828541
XGBoost,0.8391722339905491,0.21983471074380165,0.86084142394822,0.35023041474654376,0.3449912568147754,0.007573870358411482
Logistic Regression,0.8570148280919015,0.22786022020105315,0.7702265372168284,0.35168082748429996,0.3504474756076337,0.00630863316845459
