CLUSTER_KMEANS,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL,RELA_DEP_encoded,RELA_INDEP_encoded,TASA_ACCIDENTES_DEP,TASA_MUERTES_DEP,TASA_PENSIONES_ACCIDENTE,TASA_PENSIONES_ENFERMEDAD,TOTAL_PENSIONES,TOTAL_INCAPACIDADES,RATIO_INDEP_DEP,TOTAL_TRABAJADORES
0,38.33099131115205,5.995989762483087,0.111112922419836,0.111112922419836,0.111112922419836,0.00019562134228844367,0.0,1.6301778524036974e-05,299.6306343022024,19.68648419542572,0.0020277060043986375,0.0020277060043986375,0.02946982717745117,6.812720820615334e-06,0.11130854376212444,1.6301778524036974e-05,0.42223438241862515,44.32698107363513
1,89723.0,107082.0,256.0,256.0,256.0,2.0,0.0,1.0,1034.0,48.0,0.0028531942401141,0.0028531942401141,0.9961089494163424,1.0162291800046749e-05,258.0,1.0,1.1934599438277385,196805.0
2,18127.6,3777.0666666666666,74.13333333333334,74.13333333333334,74.13333333333334,0.06666666666666667,0.0,0.0,478.6,176.4,0.009325853629999381,0.009325853629999381,0.9830556601348511,1.5352139704471311e-06,74.2,0.0,0.11486752015460085,21904.666666666668
3,1246.3333333333333,9.666666666666666,11.222222222222221,11.222222222222221,11.222222222222221,0.0,1.0,0.0,548.3333333333334,116.0,0.009660262352909755,0.009660262352909755,0.6500677506775068,0.0,11.222222222222221,1.0,0.005882845156591366,1256.0
