Modelo,MSE,RMSE,MAE,R²
Random Forest,2.1257938436640136,1.4580102344167594,0.16379003520775867,0.2763883046057568
XGBoost,2.3633444974498885,1.5373173053894529,0.166672119902059,0.19552701514424864
Linear Regression,1.750259386898463,1.3229736909320846,0.18170878104912427,0.404218726990791
